Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,dataset.batch_size,dataset.encoding,dataset.train_fraction,dataset.window_size,logger.project,logger.tracking_url,model.embedding_size,model.weight_init,optimiser.lr,optimiser.momentum,training.epochs,epoch,test_loss,train_loss
2023-12-18 23:00:49,,27a8ac54596144e7955ed45b753dacd9,merciful-sow-982,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,RUNNING,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00011857120334869266,0.99,18,13,0.19102220025544608,0.27472755312919617
2023-12-18 23:00:35,,9526ae08625d4ce6bdf5bd810c8f7345,wise-vole-375,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,RUNNING,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.039235046907743085,0.99,21,19,0.2348806027099083,0.11988233029842377
2023-12-18 22:59:34,1.2min,2a31fcc34e834cf880a7f39f8468c310,gaudy-carp-203,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00019093218476502,0.99,8,7,0.1929924843089828,0.2440180480480194
2023-12-18 22:57:53,1.6min,e66f729c60a74e378b0d8efecfc68796,aged-goat-404,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.025347417717697388,0.99,11,10,0.17966693281475962,0.1899874210357666
2023-12-18 22:56:57,3.6min,4275c848f7f5441a9079a16ebf31ab64,efficient-fawn-843,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0021598775991068316,0.99,32,31,0.18381386494538823,0.09955854713916779
2023-12-18 22:56:55,53.8s,6e4b48ea24df4e828b79cdf0032c8bf6,awesome-roo-934,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.05086957115461025,0.99,6,5,0.1802386351214732,0.1615012139081955
2023-12-18 22:55:54,58.9s,d2b211610be243bea532bb467383b831,amazing-fawn-874,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0009736875802173413,0.99,8,7,0.16533162497757561,0.11961277574300766
2023-12-18 22:54:17,1.5min,6809d0089aba4af7afaa96dd3ecfb3f3,gentle-turtle-270,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0990494013798957,0.99,13,12,0.1908759652265434,0.21975909173488617
2023-12-18 22:53:27,45.4s,c85e5e83d2404080b1348c64e7b6e7b4,carefree-shrew-779,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0009852041128986183,0.99,6,5,0.17029878696620138,0.182643324136734
2023-12-18 22:51:47,5.1min,92c7a3fe581a41499360fc829dc68e93,zealous-mare-665,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.003119608624158526,0.99,37,36,0.22648841236295597,0.008266575634479523
2023-12-18 22:50:38,2.7min,45f0339bb7ef467c944779d120db893f,rogue-robin-925,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.09612490810874906,0.99,24,23,0.19468660962060502,0.22903373837471008
2023-12-18 22:49:44,2.0min,0fc0fe4afe4f4191869b2f0c735b7a57,honorable-swan-343,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00043793560861604144,0.99,14,13,0.1687113240442641,0.12098849564790726
2023-12-18 22:44:28,6.1min,810b69d4364144309a4289e2618c3d9b,illustrious-ray-452,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.016814860979451462,0.99,54,53,0.517144120374664,0.015982547774910927
2023-12-18 22:42:03,7.6min,06596ea237c94d0d856af3bb43e1154b,wise-moth-315,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0008869647246129101,0.99,55,54,0.17347674776133293,0.10165657103061676
2023-12-18 22:35:03,6.9min,46dd1e906997479aa32e5ba03c3cd498,agreeable-sponge-374,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00031621638325692194,0.99,50,49,0.1599840205875251,0.1260979026556015
2023-12-18 22:33:52,10.5min,89397709ea434b2399343a6d5a226353,vaunted-mole-310,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0001338307850745153,0.99,95,94,0.16128199909879862,0.2020929604768753
2023-12-18 22:33:40,1.3min,11292595e24d45d7b51ab42525c074f1,bold-gnat-497,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0014718247213412314,0.99,9,8,0.1600370636321808,0.12527889013290405
2023-12-18 22:30:24,3.4min,1e499025c6ef49b2996f361eb4c8a24d,delightful-croc-152,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.07075097693226884,0.99,30,29,0.19275994000376248,0.15061962604522705
2023-12-18 22:30:14,3.4min,a3d85e9c44da40dd849bd3ab422f5000,dazzling-bass-250,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.050269910186699795,0.99,24,23,0.22924318657221038,0.10323179513216019
2023-12-18 22:25:51,4.5min,030e18942019467b952de5d83031a979,mysterious-bug-903,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0012684868232925573,0.99,40,39,0.17058196036867757,0.061159055680036545
2023-12-18 22:21:14,4.5min,be6d24ccecf84688a67ebc7b0115aac6,skillful-fawn-511,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0004993723195831736,0.99,40,39,0.15737349719134835,0.1170835942029953
2023-12-18 22:17:21,12.8min,ee1c9051752e4e7b91269f025edc4183,dazzling-foal-369,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00010636253410389632,0.99,93,92,0.16304883193937156,0.1339191496372223
2023-12-18 22:15:19,5.8min,2fe39cb386dc4b30bc5d6219db1285ae,defiant-cat-148,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.050331782496222145,0.99,51,50,0.28050447332728756,0.11787836253643036
2023-12-18 22:12:23,4.9min,5bdfbe0b38d04974bde3de473ec8a269,agreeable-stag-48,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.02379002081726313,0.99,35,34,0.3143377589886306,0.08251941949129105
2023-12-18 22:08:24,6.8min,8139784371bd4b42af643c7f330a60e9,casual-kit-508,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.068597166206576,0.99,60,59,0.19782149075158958,0.19298934936523438
2023-12-18 22:06:58,5.3min,2156f70f91df489bbd16035ce40f5ab9,industrious-mule-68,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0002542379885773171,0.99,38,37,0.1634674277461943,0.10778703540563583
2023-12-18 22:05:21,3.0min,06c69c7c85ce4c3e9a4406ffbc34ad65,skittish-hare-502,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00020551889118433132,0.99,26,25,0.1697822330020816,0.14743784070014954
2023-12-18 22:02:36,2.7min,d35dc07ed83b491b82a66c2dfdda0e34,fearless-goose-321,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.05296893471047359,0.99,23,22,0.23702826855775436,0.1003643274307251
2023-12-18 21:58:59,7.9min,88276025a65f47a8903d3560aa779225,secretive-hawk-566,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.007186780348993518,0.99,57,56,0.42590100680544074,0.01094252709299326
2023-12-18 21:58:25,4.1min,bf02e79042f641fcab045d7fca7ebbf9,delightful-crane-773,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0008689429406322724,0.99,36,35,0.1600447385444667,0.104294054210186
2023-12-18 21:57:44,1.2min,be69d9b8e4074f37b44c4e9ab118aede,receptive-foal-481,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.010388538087236415,0.99,8,7,0.16939139573789033,0.10911296308040619
2023-12-18 21:56:52,46.8s,37193866a42148bcb0145d57329161eb,invincible-grub-45,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.00038207243974616636,0.99,5,4,0.1904738263679984,0.18384601175785065
2023-12-18 21:55:02,1.8min,325ab72e58314a249fcaf9f576dc84e1,brawny-penguin-275,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0008145324023513575,0.99,12,11,0.16218166545929152,0.1266365498304367
2023-12-18 21:52:05,2.9min,e763812d47dc4f89b6b3732ea4870aa1,adventurous-deer-166,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0005843618712391848,0.99,20,19,0.16106554548271368,0.16362416744232178
2023-12-18 21:51:12,7.1min,a81c7fb64e2644b4bd81c0db9c1dea4c,delicate-turtle-451,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.002850817060822346,0.99,64,63,0.3000032983598162,0.04339969530701637
2023-12-18 21:49:28,2.5min,2f9390b75fe9455f98c0b1acdc51cc61,handsome-fox-182,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.004593255403980238,0.99,18,17,0.18207349103005205,0.11363730579614639
2023-12-18 21:46:08,3.3min,46f6722779ae4fc0b4a79436ad0db0bc,abundant-perch-414,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0001989236831777141,0.99,23,22,0.17253517176284164,0.17421090602874756
2023-12-18 21:44:19,1.7min,97d15b2b88f048a29dec1a9d20e41aa3,charming-asp-780,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0004239921401932376,0.99,12,11,0.17101148971931532,0.13077566027641296
2023-12-18 21:42:48,1.4min,049be0df051a4944ade1429e9606ecdb,bald-shad-499,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0003988267252630239,0.99,10,9,0.17779004492394912,0.14279504120349884
2023-12-18 21:42:48,8.3min,580b205af5554d4687f14bf9abc95571,abrasive-mink-997,LOCAL,/home/ben/mambaforge/envs/pytorch/lib/python3.11/site-packages/ray/_private/workers/default_worker.py,ben,FINISHED,32,p50k_base,0.8,5,llm_from_scratch/word2vec,http://localhost:8080,32,xavier_norm,0.0002914932703312613,0.99,75,74,0.15895729454977264,0.16786636412143707
